resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
21,18.05.21 17:35,18.05.21 18:04,Complete,303,303_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,2,NA,NA,NA
23,18.05.21 18:23,18.05.21 18:30,Complete,303,303_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Neither agree nor disagree,NA,"No, I am comfortable and do not require changes",NA,NA
22,18.05.21 17:47,18.05.21 18:09,Complete,304,304_NG_1_Clear_q1,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Strongly agree,8,NA,NA,NA
24,18.05.21 18:11,18.05.21 18:39,Complete,304,304_NG_1_Clear_q2,keep,NG,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
25,18.05.21 18:54,18.05.21 18:57,Complete,304,304_NG_2_Blurr_q1,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,4,NA,NA,NA
26,18.05.21 19:16,18.05.21 19:24,Complete,304,304_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",remove the opaque at the bottom of each window to have a better view on the exterior,I cant see the outside world
27,20.05.21 16:14,20.05.21 16:18,Complete,305,305_G3_1_Blurr_q1,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Agree,Agree,5,NA,NA,NA
29,20.05.21 16:38,20.05.21 16:46,Complete,305,305_G3_1_Blurr_q2,keep,G3,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Slightly,Not at all,Neither agree nor disagree,Disagree,NA,"Yes, I would like the following changes:",Make me able to see through the window from the bottom and not just the top,Because I cannot really see outside except for the sky
31,20.05.21 16:59,20.05.21 17:09,Complete,305,305_G3_2_Clear_q1,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just acceptable,Slightly,Not at all,Neither agree nor disagree,Agree,6,NA,NA,NA
33,20.05.21 17:11,20.05.21 17:34,Complete,305,305_G3_2_Clear_q2,keep,G3,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Comfortable,Imperceptible,No,NA,Slightly,Not at all,Agree,Agree,NA,"Yes, I would like the following changes:",Open the window,To get some fresh air
28,20.05.21 14:10,20.05.21 16:20,Complete,306,306_G3_1_Clear_q1,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Agree,Agree,7,NA,NA,NA
30,20.05.21 16:46,20.05.21 16:55,Complete,306,306_G3_1_Clear_q2,keep,G3,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly high,Comfortable,Imperceptible,No,NA,Not at all,Slightly,Agree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
32,20.05.21 17:09,20.05.21 17:12,Complete,306,306_G3_2_Blurr_q1,keep,G3,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just unacceptable,Slightly,Slightly,Agree,Strongly disagree,0,NA,NA,NA
