"session_number","condition","exposure_nr","siblings","Dev<25","qu_usable","qu1_qu2","qu_nr","unique_qu_ID"
69,"NG","335_NG_1_Blurr","501","yes","no",1,1,"335_NG_1_Blurr_q1"
70,"NG","335_NG_2_Clear","502","no","no",1,1,"335_NG_2_Clear_q1"
71,"NG","336_NG_1_Clear","501","no","no",1,1,"336_NG_1_Clear_q1"
72,"NG","336_NG_2_Blurr","502","yes","yes",1,1,"336_NG_2_Blurr_q1"
73,"NG","337_NG_1_Clear","521","no","no",1,1,"337_NG_1_Clear_q1"
74,"NG","337_NG_2_Blurr","522","yes","yes",1,1,"337_NG_2_Blurr_q1"
75,"NG","338_NG_1_Blurr","521","no","no",1,1,"338_NG_1_Blurr_q1"
76,"NG","338_NG_2_Clear","522","yes","yes",1,1,"338_NG_2_Clear_q1"
77,"NG","339_NG_1_Blurr","551","yes","yes",1,1,"339_NG_1_Blurr_q1"
78,"NG","339_NG_2_Clear","552","no","no",1,1,"339_NG_2_Clear_q1"
79,"NG","340_NG_1_Clear","551","yes","yes",1,1,"340_NG_1_Clear_q1"
80,"NG","340_NG_2_Blurr","552","yes","no",1,1,"340_NG_2_Blurr_q1"
81,"NG","341_NG_1_Blurr","561","no","no",1,1,"341_NG_1_Blurr_q1"
82,"NG","341_NG_2_Clear","562","no","no",1,1,"341_NG_2_Clear_q1"
83,"NG","342_NG_1_Clear","561","no","no",1,1,"342_NG_1_Clear_q1"
84,"NG","342_NG_2_Blurr","562","no","no",1,1,"342_NG_2_Blurr_q1"
85,"G1","343_G1_1_Blurr","591","yes","yes",1,1,"343_G1_1_Blurr_q1"
86,"G1","343_G1_2_Clear","592","no","no",1,1,"343_G1_2_Clear_q1"
87,"G1","344_G1_1_Clear","591","yes","yes",1,1,"344_G1_1_Clear_q1"
88,"G1","344_G1_2_Blurr","592","no","no",1,1,"344_G1_2_Blurr_q1"
89,"G1","345_G1_1_Blurr","661","no","no",1,1,"345_G1_1_Blurr_q1"
90,"G1","345_G1_2_Clear","662","no","no",1,1,"345_G1_2_Clear_q1"
91,"G1","346_G1_1_Clear","661","no","no",1,1,"346_G1_1_Clear_q1"
92,"G1","346_G1_2_Blurr","662","no","no",1,1,"346_G1_2_Blurr_q1"
93,"NG","347_NG_1_Blurr","691","no","no",1,1,"347_NG_1_Blurr_q1"
94,"NG","347_NG_2_Clear","692","no","no",1,1,"347_NG_2_Clear_q1"
95,"NG","348_NG_1_Clear","691","no","no",1,1,"348_NG_1_Clear_q1"
96,"NG","348_NG_2_Blurr","692","no","no",1,1,"348_NG_2_Blurr_q1"
97,"G1","349_G1_1_Blurr","761","yes","yes",1,1,"349_G1_1_Blurr_q1"
98,"G1","349_G1_2_Clear","762","yes","yes",1,1,"349_G1_2_Clear_q1"
99,"G1","350_G1_1_Clear","761","yes","yes",1,1,"350_G1_1_Clear_q1"
100,"G1","350_G1_2_Blurr","762","yes","yes",1,1,"350_G1_2_Blurr_q1"
101,"G1","351_G1_1_Blurr","771","yes","yes",1,1,"351_G1_1_Blurr_q1"
102,"G1","351_G1_2_Clear","772","yes","yes",1,1,"351_G1_2_Clear_q1"
