"unique_qu_ID","session_number","condition.x","exposure_nr","siblings","qu","qu_usable","qu1_qu2","qu_nr","resp_ID","t_start","t_end","Status","p_ID","erase","condition.y","exposure","room","view_access","exp_duration_original","exp_duration","anything_disturbing","thermal_sensation","thermal_satisfaction","air_qual_satisfaction","acoustics_satisfaction","overall_comfort","light_level_sensation","visual_comfort","glare_Osterhaus","glare_binary","glare_branch_accept","glare_likert4","glare_reflection_screen_likert4","glare_agreement5","colors_outside_agreement5","view_satisfaction_interval10__5only","work_all_day_changes__30only","work_all_day_changes_WHAT","work_all_day_changes_WHY","feel_happy","feel_sad","feel_tired","feel_anxious","feel_calm","feel_relaxed","feel_focused","feel_wide_awake","feel_connected_nature","feel_aware_time_of_day","stress_likert4","eye_dry_likert4","eye_blurry_likert4","eye_strain_likert4","exposure_name","comment","condition","desk_angle","subjectID","participants","LMK_name","max","dgp","av_lum","E_v","lum_backg","E_v_dir","dgi","ugr","vcp","cgi","lum_sources","omega_sources","Lveil","Lveil_cie","dgr","ugp","ugr_exp","dgi_mod","av_lum_pos","av_lum_pos2","med_lum","med_lum_pos","med_lum_pos2","ugp2","screen","glare_Osterhaus_bin","glare_likert4_bin","glare_agreement5_bin","glare_acceptable_bin","view_qr_nr"
"303_NG_2_Blurr_q1",6,"NG","303_NG_2_Blurr","144","yes","no","no",1,21,2021-05-18 17:35:53,2021-05-18 18:04:26,"Complete",303,"keep","NG","Exposure 2","BP 2229 (center of the building)","no","About 5 minutes","05min","No",4,0,0,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",2,NA,NA,NA,"Disagree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree",0,0,0,0,"303_NG_2_Blurr_q1-scrON","clouds","NG","45°","303","p303-304","20210518-180806-659",62113,0.329751,644.758522,2693.014247,222.694874,1993.397657,17.871677,24.293758,14.169592,28.440823,5660.89513,0.486621,266.369354,12.614631,278.647369,"0.789547","22.527394999999999",17.137571,178.273024,10.857858,164.666016,31.066003,6.045805,0.593943,"scrON",0,0,0,NA,"no & qu.1"
"303_NG_2_Blurr_q2",6,"NG","303_NG_2_Blurr","144","no",NA,"no",2,23,2021-05-18 18:23:57,2021-05-18 18:30:07,"Complete",303,"keep","NG","Exposure 2","BP 2229 (center of the building)","no","About 30 minutes","30min","No",4,0,0,0,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Neither agree nor disagree",NA,"No, I am comfortable and do not require changes",NA,NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree",0,0,0,0,"303_NG_2_Blurr_q2-scrON","clouds","NG","45°","303","p303-304","20210518-183556-998",6461.9,0.207832,200.922363,787.590494,183.478712,211.175111,6.64739,11.024644,87.47467,14.411697,3033.796594,0.12493,19.364616,0.686636,51.943813,"0.35830099999999998","7.180034",8.118508,53.738168,3.487525,60.307617,11.11024,2.127549,0.337341,"scrON",0,0,0,NA,"no & qu.2"
"304_NG_1_Clear_q1",7,"NG","304_NG_1_Clear","144","yes",NA,"yes",1,22,2021-05-18 17:47:45,2021-05-18 18:09:33,"Complete",304,"keep","NG","Exposure 1","BP 2243 (end of the corridor)","yes","About 5 minutes","05min","No",5,0,1,1,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Strongly agree",8,NA,NA,NA,"Agree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree",0,0,0,1,"304_NG_1_Clear_q1-scrON","clouds","NG","45°","304","p303-304","20210518-181124-763",76433,0.32052,617.528336,2541.960022,203.380416,1903.021591,17.843065,24.115955,8.568297,28.0201,5003.825457,0.530406,255.342163,11.965199,348.294708,"0.78376900000000005","22.550637999999999",16.999123,168.500777,10.253149,159.771484,30.382256,6.121519,0.59085,"scrON",0,0,0,NA,"yes & qu.1"
"304_NG_1_Clear_q2",7,"NG","304_NG_1_Clear","144","yes",NA,"yes",2,24,2021-05-18 18:11:52,2021-05-18 18:39:35,"Complete",304,"keep","NG","Exposure 1","BP 2243 (end of the corridor)","yes","About 30 minutes","30min","no",6,0,1,1,3,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",NA,"No, I am comfortable and do not require changes",NA,NA,"Agree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Strongly agree","Disagree","Agree","Agree","Neither agree nor disagree",0,0,0,0,"304_NG_1_Clear_q2-scrON","clouds","NG","45°","304","p303-304","20210518-184156-266",3597.9,0.205407,190.936039,771.036379,213.33961,100.810219,3.624061,7.454523,96.036156,10.853354,2272.492203,0.082536,9.107075,0.314795,32.857414,"0.24227199999999999","4.5386240000000004",5.917896,57.466597,4.138689,63.803711,10.28396,1.983322,0.267436,"scrON",0,0,0,NA,"yes & qu.2"
"304_NG_2_Blurr_q1",8,"NG","304_NG_2_Blurr","*not a pair","no",NA,"no",1,25,2021-05-18 18:54:09,2021-05-18 18:57:35,"Complete",304,"keep","NG","Exposure 2","BP 2229 (center of the building)","no","About 5 minutes","05min","No",4,1,1,-1,2,"Just right","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",4,NA,NA,NA,"Neither agree nor disagree","Strongly disagree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Disagree","Neither agree nor disagree",0,0,0,0,"304_NG_2_Blurr_q1-scrON","clouds & dark (too late?)","NG","45°","304","p303-304","20210518-185853-428",1238.68,0.174191,59.562351,258.782299,82.372963,0,0,0,100,0,0,0,0,0,0,"0","0",0,21.343965,1.768049,19.621826,3.222968,0.626981,0,"scrON",0,0,0,NA,"no & qu.1"
"304_NG_2_Blurr_q2",8,"NG","304_NG_2_Blurr","*not a pair","no",NA,"no",2,26,2021-05-18 19:16:28,2021-05-18 19:24:02,"Complete",304,"keep","NG","Exposure 2","BP 2229 (center of the building)","no","About 30 minutes","30min","no",4,0,1,-1,2,"Slightly low","Comfortable","Imperceptible","No",NA,"Not at all","Not at all","Agree","Agree",NA,"Yes, I would like the following changes:","remove the opaque at the bottom of each window to have a better view on the exterior","I cant see the outside world","Neither agree nor disagree","Strongly disagree","Strongly disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree",0,0,0,0,"304_NG_2_Blurr_q2-scrON","clouds & dark (too late?)","NG","45°","304","p303-304","20210518-193015-241",943.33,0.17347,57.670648,246.502744,78.464259,0,0,0,100,0,0,0,0,0,0,"0","0",0,19.651853,1.600027,16.387939,2.953718,0.570883,0,"scrON",0,0,0,NA,"no & qu.2"
"305_G3_1_Blurr_q1",9,"G3","305_G3_1_Blurr","161","yes",NA,"yes",1,27,2021-05-20 16:14:11,2021-05-20 16:18:17,"Complete",305,"keep","G3","Exposure 1","BP 2229 (center of the building)","no","About 5 minutes","05min","No",4,1,0,1,3,"Slightly high","Comfortable","Noticeable","Yes","Just acceptable","Slightly","Not at all","Agree","Agree",5,NA,NA,NA,"Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Disagree","Disagree","Disagree",0,0,0,0,"305_G3_1_Blurr_q1-scrON",NA,"G3",NA,"305","p305-306","20210520-161919-804",24344000,0.431999,734.08687,2729.939573,310.877929,1753.28774,22.493717,36.239052,2.254746,41.146038,38822.65623,0.072358,295.226654,7.744318,563.314636,"1.1777690000000001","20.260694999999998",22.481157,136.724682,7.135079,173.056641,31.648701,5.994458,0.766961,"scrON",0,0,0,NA,"no & qu.1"
"305_G3_1_Blurr_q2",9,"G3","305_G3_1_Blurr","161","yes",NA,"yes",2,29,2021-05-20 16:38:26,2021-05-20 16:46:08,"Complete",305,"keep","G3","Exposure 1","BP 2229 (center of the building)","no","About 30 minutes","30min","Not really, though a fresh air current would be nice",6,-1,0,0,2,"Slightly low","Comfortable","Noticeable","No",NA,"Slightly","Not at all","Neither agree nor disagree","Disagree",NA,"Yes, I would like the following changes:","Make me able to see through the window from the bottom and not just the top","Because I cannot really see outside except for the sky","Neither agree nor disagree","Disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree",0,0,0,0,"305_G3_1_Blurr_q2-scrON",NA,"G3",NA,"305","p305-306","20210520-165032-068",14713800,0.409225,539.635831,2132.342525,288.893532,1224.756715,23.350334,36.016506,1.010423,40.598335,18998.497247,0.093921,185.580841,6.645387,716.78418,"1.170536","19.7502",23.47427,118.438116,6.377785,133.201172,23.49299,4.395649,0.764376,"scrON",0,0,0,NA,"no & qu.2"
"305_G3_2_Clear_q1",10,"G3","305_G3_2_Clear","162","yes",NA,"yes",1,31,2021-05-20 16:59:42,2021-05-20 17:09:07,"Complete",305,"keep","G3","Exposure 2","BP 2243 (end of the corridor)","yes","About 5 minutes","05min","No",4,0,0,1,3,"Just right","Comfortable","Noticeable","Yes","Just acceptable","Slightly","Not at all","Neither agree nor disagree","Agree",6,NA,NA,NA,"Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree",0,0,0,0,"305_G3_2_Clear_q1-scrON",NA,"G3",NA,"305","p305-306","20210520-171156-339",2649200,0.316536,343.730611,1300.344546,281.044609,417.416854,21.4319,28.753075,5.409651,32.764301,7742.778271,0.083468,132.123276,4.159886,417.127747,"0.93447499999999994","18.308558999999999",22.493404,96.269535,6.557799,122.013672,21.544678,3.87451,0.666724,"scrON",0,0,0,NA,"yes & qu.1"
"305_G3_2_Clear_q2",10,"G3","305_G3_2_Clear","162","yes",NA,"yes",2,33,2021-05-20 17:11:44,2021-05-20 17:34:07,"Complete",305,"keep","G3","Exposure 2","BP 2243 (end of the corridor)","yes","About 30 minutes","30min","No",4,1,-1,1,3,"Slightly low","Comfortable","Imperceptible","No",NA,"Slightly","Not at all","Agree","Agree",NA,"Yes, I would like the following changes:","Open the window","To get some fresh air","Neither agree nor disagree","Strongly disagree","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree",0,0,0,0,"305_G3_2_Clear_q2-scrON","check if the sun was behind the frame? consider taking the picture from the other room?","G3",NA,"305","p305-306","20210520-173646-524",59249,0.231704,201.915386,640.618279,199.932612,12.511445,16.259928,19.950129,41.445831,23.214993,3418.57461,0.033685,32.494049,0.130376,145.809692,"0.64837900000000004","15.065408",18.866556,55.607382,3.91319,90.548828,16.863378,2.974394,0.514712,"scrON",0,0,0,NA,"yes & qu.2"
